Name,Job History,Core Skills,Certifications,Education,Languages,Project History,Leadership Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Cognitive Style,Conflict Resolution Style,Work Environment Preference,Team Role Tendency,Risk Tolerance,Preferred Industry,Geographic Preference,Ideal Team Size,Career Aspiration,Work-Life Balance Preference,Matched Role
Tara Watts,Project Manager (5 yrs); Cloud Architect (5 yrs),"Communication, Docker, Time Management, Java","CompTIA Security+, Certified Information Systems Security Professional (CISSP)","BEng Software Engineering, Stanford University","English, Japanese",Security Analyst project: Outcome - Leverage front-end e-commerce; Cloud Architect project: Outcome - Re-contextualize distributed e-business,No,2.8,2.1,4.7,3.3,1.8,Logical,Collaborative,Flexible,Resource Investigator,Low,Education,On-site,Medium (6-15),Innovation,Low,Backend Developer
Christopher Johnson,Project Manager (4 yrs); Data Scientist (3 yrs),"Java, Docker, Time Management, Communication","AWS Certified Solutions Architect, CompTIA Security+","MBA, Stanford University","Mandarin, German",Software Engineer project: Outcome - Re-intermediate robust web services; Business Analyst project: Outcome - Orchestrate clicks-and-mortar convergence,Yes,2.8,1.4,4.9,2.5,1.3,Logical,Avoidant,Structured,Shaper,Low,Manufacturing,Remote,Small (1-5),Management,Low,Product Owner
Alicia Johnson,Network Administrator (1 yrs); DevOps Engineer (3 yrs),"Time Management, Docker, Problem Solving, SQL","Certified Information Systems Security Professional (CISSP), Cisco CCNA","BEng Software Engineering, MIT","Japanese, Spanish",Business Analyst project: Outcome - Innovate 24/365 web-readiness; Network Administrator project: Outcome - Incentivize front-end vortals,No,2.0,2.3,2.0,1.1,2.8,Intuitive,Competitive,Balanced,Resource Investigator,Medium,Finance,Hybrid,Small (1-5),Technical Expert,Moderate,DevOps Specialist
David Thomas,Network Administrator (3 yrs); Cloud Architect (2 yrs),"Communication, Docker, Python, Critical Thinking","Certified Information Systems Security Professional (CISSP), PMP","BSc Computer Science, University of California","Japanese, Mandarin",Software Engineer project: Outcome - Envisioneer dot-com platforms; Data Scientist project: Outcome - Incentivize compelling infrastructures,No,1.7,3.3,2.5,4.6,1.2,Analytical,Avoidant,Flexible,Implementer,High,Finance,Hybrid,Medium (6-15),Leadership,High,IT Support Specialist
Jamie Sherman,Security Analyst (2 yrs); Security Analyst (4 yrs),"Problem Solving, Team Leadership, Communication, Critical Thinking","PMP, AWS Certified Solutions Architect","MBA, University of Texas","French, Japanese",Security Analyst project: Outcome - Morph b2c roi; Project Manager project: Outcome - Unleash efficient content,Yes,4.7,1.2,1.4,4.0,1.3,Creative,Collaborative,Structured,Implementer,Medium,Retail,On-site,Small (1-5),Technical Expert,High,IT Support Specialist
Amber Gonzalez,Cloud Architect (4 yrs); Network Administrator (3 yrs),"Critical Thinking, Docker, Python, Java","Cisco CCNA, Certified Information Systems Security Professional (CISSP)","BSc Information Systems, University of Texas","French, Japanese",Security Analyst project: Outcome - Generate granular technologies; Network Administrator project: Outcome - Monetize user-centric experiences,No,1.1,2.4,2.7,2.8,4.0,Logical,Compromising,Structured,Implementer,High,Manufacturing,Remote,Large (16+),Management,Low,DevOps Specialist
John Oliver,Network Administrator (1 yrs); Security Analyst (3 yrs),"Docker, Communication, Team Leadership, Time Management","PMP, Certified Information Systems Security Professional (CISSP)","BA Business Administration, Stanford University","French, Japanese",Security Analyst project: Outcome - Morph holistic portals; Security Analyst project: Outcome - Scale mission-critical technologies,Yes,4.2,1.3,3.4,4.2,3.2,Analytical,Collaborative,Structured,Implementer,Low,Retail,Hybrid,Small (1-5),Management,Moderate,Data Analyst
Alicia Reynolds,Network Administrator (4 yrs); Data Scientist (4 yrs),"Problem Solving, Docker, Communication, Java","Certified ScrumMaster (CSM), PMP","MSc Data Science, University of California","French, English",DevOps Engineer project: Outcome - Visualize 24/7 e-markets; Network Administrator project: Outcome - Harness web-enabled deliverables,Yes,4.7,3.8,1.6,2.7,1.4,Creative,Avoidant,Balanced,Coordinator,High,Finance,Hybrid,Small (1-5),Technical Expert,Low,Data Analyst
Benjamin Hawkins,Project Manager (4 yrs); Project Manager (1 yrs),"Team Leadership, Python, AWS, Critical Thinking","Certified Information Systems Security Professional (CISSP), CompTIA Security+","BSc Computer Science, Carnegie Mellon University","English, French",Cloud Architect project: Outcome - Revolutionize out-of-the-box e-markets; Security Analyst project: Outcome - Embrace robust systems,Yes,4.2,3.8,3.5,1.8,3.7,Creative,Compromising,Balanced,Coordinator,Low,Finance,Remote,Large (16+),Technical Expert,Low,Security Engineer
Amber Hall,Network Administrator (3 yrs); Network Administrator (3 yrs),"Critical Thinking, Time Management, AWS, Problem Solving","AWS Certified Solutions Architect, Certified ScrumMaster (CSM)","BSc Information Systems, University of California","German, Japanese",DevOps Engineer project: Outcome - Cultivate frictionless e-services; Security Analyst project: Outcome - Seize bricks-and-clicks synergies,Yes,2.8,4.3,4.0,1.5,4.2,Creative,Compromising,Structured,Completer-Finisher,Low,Technology,Hybrid,Large (16+),Technical Expert,Low,Security Engineer
Kevin Paul,Network Administrator (2 yrs); Network Administrator (3 yrs),"Critical Thinking, Java, Time Management, Python","Certified ScrumMaster (CSM), Cisco CCNA","MBA, Stanford University","French, German",Software Engineer project: Outcome - Matrix ubiquitous channels; Security Analyst project: Outcome - Strategize scalable vortals,No,2.6,3.6,4.8,3.9,4.9,Intuitive,Avoidant,Structured,Coordinator,High,Retail,On-site,Large (16+),Leadership,Moderate,DevOps Specialist
John Fox,Network Administrator (3 yrs); Network Administrator (3 yrs),"Problem Solving, Communication, Docker, Python","CompTIA Security+, PMP","BSc Information Systems, University of Texas","Spanish, Mandarin",Project Manager project: Outcome - Incubate dynamic e-business; Security Analyst project: Outcome - Embrace out-of-the-box bandwidth,No,3.4,4.2,3.3,3.9,1.3,Creative,Compromising,Structured,Shaper,Medium,Retail,Remote,Medium (6-15),Innovation,Low,DevOps Specialist
Bradley Burnett,Business Analyst (1 yrs); Software Engineer (4 yrs),"Problem Solving, Java, Time Management, Team Leadership","Certified Information Systems Security Professional (CISSP), Certified ScrumMaster (CSM)","MBA, MIT","French, Mandarin",Business Analyst project: Outcome - Incentivize bleeding-edge networks; Project Manager project: Outcome - Generate next-generation synergies,Yes,3.4,1.5,1.3,1.5,1.2,Analytical,Compromising,Flexible,Implementer,Medium,Manufacturing,On-site,Medium (6-15),Innovation,Moderate,QA Engineer
Raymond Campbell,Business Analyst (3 yrs); Network Administrator (2 yrs),"AWS, Critical Thinking, Python, Problem Solving","AWS Certified Solutions Architect, PMP","BSc Information Systems, University of Florida","Spanish, Japanese",Data Scientist project: Outcome - Synergize one-to-one schemas; Security Analyst project: Outcome - Orchestrate impactful applications,Yes,4.6,4.0,2.4,2.9,2.7,Intuitive,Competitive,Structured,Resource Investigator,Low,Education,Remote,Small (1-5),Innovation,Moderate,Backend Developer
Randy Bennett,Security Analyst (5 yrs); Network Administrator (1 yrs),"Python, SQL, Problem Solving, Communication","AWS Certified Solutions Architect, PMP","BSc Computer Science, University of Florida","German, English",Project Manager project: Outcome - Target user-centric functionalities; Software Engineer project: Outcome - Benchmark bricks-and-clicks technologies,Yes,1.7,4.1,4.3,4.2,1.8,Logical,Competitive,Flexible,Coordinator,High,Manufacturing,Hybrid,Large (16+),Leadership,Low,QA Engineer
Elizabeth Salinas,Data Scientist (4 yrs); DevOps Engineer (3 yrs),"Problem Solving, Critical Thinking, Team Leadership, Java","Cisco CCNA, AWS Certified Solutions Architect","MSc Data Science, Carnegie Mellon University","Mandarin, French",DevOps Engineer project: Outcome - Enhance bricks-and-clicks e-tailers; Business Analyst project: Outcome - Evolve efficient e-commerce,No,4.8,4.6,1.8,2.3,1.7,Analytical,Avoidant,Balanced,Resource Investigator,Low,Finance,Remote,Small (1-5),Management,Low,IT Support Specialist
Lauren Miller,Network Administrator (3 yrs); Software Engineer (3 yrs),"Problem Solving, SQL, Python, Docker","Certified ScrumMaster (CSM), PMP","BSc Information Systems, MIT","German, French",Business Analyst project: Outcome - Target seamless technologies; Data Scientist project: Outcome - Empower dot-com e-services,No,1.9,2.9,3.1,3.4,4.6,Analytical,Avoidant,Balanced,Coordinator,High,Manufacturing,Remote,Medium (6-15),Leadership,Low,Security Engineer
David Crawford,Software Engineer (5 yrs); Business Analyst (1 yrs),"Java, Communication, Critical Thinking, Time Management","Cisco CCNA, PMP","BSc Computer Science, University of California","French, Mandarin",Project Manager project: Outcome - Seize mission-critical platforms; Software Engineer project: Outcome - Incentivize impactful infrastructures,No,4.9,1.7,3.2,2.8,4.7,Creative,Competitive,Structured,Resource Investigator,High,Healthcare,On-site,Small (1-5),Management,Low,Systems Architect
Claudia Cameron,Project Manager (1 yrs); Network Administrator (4 yrs),"SQL, Python, Team Leadership, Communication","Cisco CCNA, AWS Certified Solutions Architect","BSc Information Systems, University of California","German, Japanese",Data Scientist project: Outcome - Syndicate real-time deliverables; Software Engineer project: Outcome - Deliver distributed interfaces,Yes,3.5,2.5,3.6,2.7,2.5,Intuitive,Collaborative,Structured,Resource Investigator,High,Manufacturing,Remote,Large (16+),Management,Moderate,Backend Developer
Stephen Moreno,Security Analyst (3 yrs); Software Engineer (3 yrs),"Python, SQL, AWS, Java","AWS Certified Solutions Architect, Certified ScrumMaster (CSM)","BA Business Administration, Carnegie Mellon University","French, Japanese",Security Analyst project: Outcome - Orchestrate seamless eyeballs; Software Engineer project: Outcome - Seize dot-com supply-chains,Yes,3.9,1.3,4.7,4.4,1.7,Analytical,Competitive,Flexible,Coordinator,Low,Manufacturing,On-site,Small (1-5),Innovation,Moderate,Product Owner
Eric Logan,DevOps Engineer (2 yrs); Network Administrator (1 yrs),"Python, AWS, Team Leadership, Communication","CompTIA Security+, Cisco CCNA","BEng Software Engineering, MIT","Spanish, German",Data Scientist project: Outcome - Unleash b2b users; Data Scientist project: Outcome - Strategize front-end models,Yes,4.0,3.6,5.0,4.1,2.5,Logical,Competitive,Flexible,Resource Investigator,Low,Finance,On-site,Large (16+),Management,Moderate,Systems Architect
Sarah Moore,Software Engineer (1 yrs); Data Scientist (5 yrs),"Communication, Java, Time Management, SQL","AWS Certified Solutions Architect, Certified Information Systems Security Professional (CISSP)","BSc Computer Science, MIT","Mandarin, Japanese",Data Scientist project: Outcome - Matrix viral mindshare; Software Engineer project: Outcome - Mesh web-enabled communities,Yes,1.4,3.2,1.7,1.1,3.0,Intuitive,Collaborative,Balanced,Shaper,Medium,Education,Remote,Small (1-5),Leadership,Low,Security Engineer
Richard Goodwin,Business Analyst (5 yrs); Software Engineer (2 yrs),"Python, Team Leadership, Problem Solving, AWS","CompTIA Security+, Certified ScrumMaster (CSM)","MBA, University of Texas","English, German",Business Analyst project: Outcome - Envisioneer clicks-and-mortar mindshare; Cloud Architect project: Outcome - Expedite back-end platforms,Yes,2.5,3.2,2.7,5.0,2.6,Creative,Collaborative,Structured,Shaper,High,Manufacturing,On-site,Large (16+),Management,High,QA Engineer
Brandon Logan,Network Administrator (4 yrs); Network Administrator (4 yrs),"Python, Communication, AWS, Java","Certified ScrumMaster (CSM), AWS Certified Solutions Architect","BEng Software Engineering, Stanford University","English, German",Data Scientist project: Outcome - Extend front-end technologies; Cloud Architect project: Outcome - Incentivize dot-com models,Yes,4.0,3.7,1.1,1.8,4.7,Creative,Compromising,Flexible,Resource Investigator,High,Education,On-site,Small (1-5),Management,Moderate,IT Support Specialist
Jamie Smith,Network Administrator (2 yrs); Data Scientist (1 yrs),"AWS, Docker, Communication, Java","CompTIA Security+, Certified Information Systems Security Professional (CISSP)","BEng Software Engineering, MIT","Spanish, French",Software Engineer project: Outcome - Facilitate customized web-readiness; Data Scientist project: Outcome - Empower viral experiences,Yes,4.4,3.1,4.4,3.4,2.6,Logical,Avoidant,Structured,Resource Investigator,Medium,Finance,Remote,Large (16+),Management,High,Systems Architect
Angela Gonzales,Project Manager (2 yrs); Software Engineer (3 yrs),"Team Leadership, Critical Thinking, Problem Solving, Communication","Cisco CCNA, Certified ScrumMaster (CSM)","BEng Software Engineering, MIT","French, German",Security Analyst project: Outcome - Morph clicks-and-mortar networks; Business Analyst project: Outcome - Seize interactive e-business,Yes,2.7,4.3,4.8,1.6,4.8,Logical,Competitive,Balanced,Resource Investigator,Low,Technology,Remote,Large (16+),Leadership,Low,DevOps Specialist
Joseph Hull,Software Engineer (5 yrs); Security Analyst (1 yrs),"Problem Solving, Team Leadership, Docker, Java","CompTIA Security+, PMP","MSc Data Science, University of Florida","French, German",Security Analyst project: Outcome - Empower real-time partnerships; Cloud Architect project: Outcome - Deliver holistic networks,No,1.7,1.8,3.5,2.4,1.3,Creative,Competitive,Structured,Implementer,Medium,Retail,Hybrid,Large (16+),Leadership,High,Systems Architect
Patricia Miller,DevOps Engineer (2 yrs); Security Analyst (4 yrs),"Communication, AWS, Team Leadership, Python","Certified ScrumMaster (CSM), CompTIA Security+","BSc Computer Science, Carnegie Mellon University","English, Japanese",Network Administrator project: Outcome - Expedite dynamic synergies; Data Scientist project: Outcome - Facilitate b2c mindshare,Yes,1.6,3.6,2.3,1.1,1.8,Creative,Avoidant,Flexible,Implementer,Medium,Education,Remote,Small (1-5),Technical Expert,High,Security Engineer
Michael Johnson,Project Manager (5 yrs); Business Analyst (5 yrs),"Java, Time Management, SQL, Communication","Cisco CCNA, PMP","BSc Information Systems, Stanford University","Japanese, Mandarin",Data Scientist project: Outcome - Disintermediate b2c vortals; Data Scientist project: Outcome - E-enable cross-platform systems,Yes,2.8,3.9,1.2,2.1,2.8,Analytical,Collaborative,Structured,Resource Investigator,Medium,Manufacturing,Hybrid,Large (16+),Technical Expert,High,Security Engineer
Renee Elliott,Cloud Architect (5 yrs); Network Administrator (1 yrs),"Team Leadership, SQL, Problem Solving, Communication","AWS Certified Solutions Architect, CompTIA Security+","BSc Computer Science, Stanford University","Mandarin, Japanese",Cloud Architect project: Outcome - Extend cross-platform communities; DevOps Engineer project: Outcome - Engage cutting-edge e-commerce,No,2.7,2.1,1.9,3.7,3.4,Analytical,Collaborative,Balanced,Shaper,High,Manufacturing,Hybrid,Large (16+),Innovation,Low,Systems Architect
Miranda Scott,Business Analyst (3 yrs); Cloud Architect (1 yrs),"SQL, Problem Solving, Java, Time Management","Certified Information Systems Security Professional (CISSP), AWS Certified Solutions Architect","MSc Data Science, University of California","German, French",Security Analyst project: Outcome - Revolutionize open-source methodologies; Software Engineer project: Outcome - Synergize plug-and-play e-markets,No,4.2,1.1,1.5,4.2,3.1,Intuitive,Competitive,Flexible,Shaper,Medium,Finance,On-site,Medium (6-15),Leadership,Moderate,Data Analyst
Vincent Gonzales,Business Analyst (1 yrs); Project Manager (4 yrs),"Critical Thinking, Time Management, AWS, Java","PMP, Certified ScrumMaster (CSM)","BSc Computer Science, Stanford University","Spanish, German",Cloud Architect project: Outcome - Monetize wireless niches; Cloud Architect project: Outcome - Enhance scalable technologies,Yes,2.3,1.5,3.6,3.3,3.2,Creative,Competitive,Balanced,Resource Investigator,High,Manufacturing,Remote,Small (1-5),Leadership,Low,Data Analyst
Jill Mitchell,DevOps Engineer (3 yrs); Security Analyst (4 yrs),"Critical Thinking, Docker, Problem Solving, Communication","PMP, AWS Certified Solutions Architect","BEng Software Engineering, University of Texas","Spanish, German",Security Analyst project: Outcome - Cultivate web-enabled roi; Network Administrator project: Outcome - Synergize viral channels,Yes,4.5,2.8,4.7,2.2,3.3,Creative,Collaborative,Structured,Implementer,Low,Retail,On-site,Large (16+),Innovation,Moderate,Backend Developer
Mary Espinoza,Software Engineer (2 yrs); DevOps Engineer (5 yrs),"Communication, Python, SQL, Docker","Certified Information Systems Security Professional (CISSP), Certified ScrumMaster (CSM)","MBA, Stanford University","German, English",Business Analyst project: Outcome - Revolutionize efficient vortals; Business Analyst project: Outcome - Incubate customized supply-chains,No,1.5,4.8,3.7,3.7,2.2,Logical,Avoidant,Flexible,Shaper,High,Technology,Remote,Small (1-5),Innovation,Moderate,Product Owner
Julie Roberts,Cloud Architect (4 yrs); Project Manager (1 yrs),"SQL, Critical Thinking, Communication, Docker","PMP, Certified Information Systems Security Professional (CISSP)","BSc Computer Science, University of California","English, German",DevOps Engineer project: Outcome - Reinvent end-to-end initiatives; DevOps Engineer project: Outcome - Re-contextualize global mindshare,Yes,2.8,3.3,2.1,2.8,4.2,Intuitive,Avoidant,Balanced,Completer-Finisher,Medium,Education,Hybrid,Medium (6-15),Innovation,Moderate,Product Owner
Jennifer Martin,Software Engineer (2 yrs); Business Analyst (1 yrs),"Time Management, Docker, Problem Solving, SQL","Certified ScrumMaster (CSM), Cisco CCNA","BA Business Administration, University of California","Mandarin, Spanish",DevOps Engineer project: Outcome - Revolutionize end-to-end bandwidth; DevOps Engineer project: Outcome - Synthesize front-end vortals,No,4.8,3.6,4.0,1.3,3.9,Analytical,Avoidant,Balanced,Resource Investigator,Medium,Technology,Remote,Medium (6-15),Technical Expert,Moderate,Security Engineer
Arthur Chandler,Project Manager (1 yrs); Software Engineer (3 yrs),"Java, AWS, Communication, Critical Thinking","CompTIA Security+, Certified ScrumMaster (CSM)","BEng Software Engineering, University of Texas","English, Spanish",Data Scientist project: Outcome - Integrate frictionless portals; Network Administrator project: Outcome - E-enable transparent e-business,No,2.4,2.5,4.3,2.7,2.3,Logical,Compromising,Balanced,Completer-Finisher,High,Manufacturing,On-site,Small (1-5),Leadership,Moderate,Product Owner
Taylor Leonard,Project Manager (5 yrs); Business Analyst (3 yrs),"Team Leadership, Python, AWS, Java","CompTIA Security+, Cisco CCNA","BEng Software Engineering, Stanford University","English, French",Security Analyst project: Outcome - Matrix 24/7 mindshare; Cloud Architect project: Outcome - Generate dynamic systems,Yes,1.3,1.6,3.9,4.5,1.8,Analytical,Compromising,Structured,Completer-Finisher,Low,Finance,Hybrid,Medium (6-15),Technical Expert,Low,IT Support Specialist
Michelle Porter,Project Manager (1 yrs); Cloud Architect (4 yrs),"Problem Solving, Team Leadership, Critical Thinking, Time Management","Certified Information Systems Security Professional (CISSP), Cisco CCNA","BA Business Administration, Stanford University","English, French",Network Administrator project: Outcome - Streamline 24/365 interfaces; Security Analyst project: Outcome - Incentivize mission-critical models,Yes,2.2,3.8,1.8,1.9,3.7,Analytical,Collaborative,Balanced,Resource Investigator,High,Retail,Hybrid,Medium (6-15),Management,Moderate,Security Engineer
Cheyenne Hernandez,Data Scientist (4 yrs); Cloud Architect (1 yrs),"SQL, Docker, Java, Problem Solving","PMP, CompTIA Security+","BEng Software Engineering, Carnegie Mellon University","Mandarin, English",Cloud Architect project: Outcome - Re-contextualize killer functionalities; Cloud Architect project: Outcome - Redefine magnetic e-business,Yes,2.9,3.8,1.1,5.0,1.8,Intuitive,Avoidant,Balanced,Shaper,Medium,Technology,Remote,Small (1-5),Innovation,High,QA Engineer
Jessica Smith,Project Manager (2 yrs); Cloud Architect (3 yrs),"Communication, SQL, Critical Thinking, Time Management","Cisco CCNA, Certified ScrumMaster (CSM)","MSc Data Science, Carnegie Mellon University","Spanish, Mandarin",Data Scientist project: Outcome - Target intuitive markets; Project Manager project: Outcome - Empower granular info-mediaries,Yes,2.9,1.0,3.3,2.0,3.9,Logical,Competitive,Balanced,Resource Investigator,Medium,Technology,On-site,Small (1-5),Management,Moderate,DevOps Specialist
Derek Jackson,Software Engineer (3 yrs); Network Administrator (3 yrs),"SQL, Problem Solving, Team Leadership, Communication","AWS Certified Solutions Architect, PMP","BSc Computer Science, Stanford University","German, Mandarin",DevOps Engineer project: Outcome - Productize granular portals; Software Engineer project: Outcome - Integrate best-of-breed networks,Yes,1.8,1.5,4.6,4.9,4.8,Creative,Compromising,Balanced,Implementer,Medium,Education,Hybrid,Medium (6-15),Leadership,High,QA Engineer
Kenneth Haney,Network Administrator (2 yrs); Project Manager (5 yrs),"Communication, Team Leadership, Time Management, SQL","AWS Certified Solutions Architect, CompTIA Security+","BSc Computer Science, Carnegie Mellon University","Japanese, French",DevOps Engineer project: Outcome - Repurpose turn-key channels; Cloud Architect project: Outcome - Syndicate synergistic solutions,Yes,2.6,4.9,3.4,1.1,1.7,Intuitive,Compromising,Flexible,Completer-Finisher,High,Manufacturing,Remote,Medium (6-15),Technical Expert,Moderate,Systems Architect
John Evans,Business Analyst (5 yrs); Security Analyst (3 yrs),"Problem Solving, Time Management, Docker, Team Leadership","PMP, AWS Certified Solutions Architect","BSc Computer Science, Carnegie Mellon University","Mandarin, French",Cloud Architect project: Outcome - Innovate end-to-end eyeballs; Data Scientist project: Outcome - Visualize front-end interfaces,No,4.1,3.7,1.5,2.1,2.2,Creative,Compromising,Balanced,Implementer,Low,Healthcare,Hybrid,Medium (6-15),Leadership,Moderate,IT Support Specialist
Stephanie Smith,Network Administrator (1 yrs); DevOps Engineer (5 yrs),"Docker, SQL, Communication, AWS","PMP, Cisco CCNA","BSc Information Systems, University of California","French, German",Business Analyst project: Outcome - Synergize dot-com web services; Network Administrator project: Outcome - Leverage open-source convergence,Yes,3.9,2.5,2.7,3.0,2.7,Creative,Avoidant,Flexible,Completer-Finisher,Medium,Healthcare,Hybrid,Small (1-5),Technical Expert,Moderate,DevOps Specialist
Joseph Faulkner,Data Scientist (4 yrs); Network Administrator (1 yrs),"AWS, Java, Docker, Team Leadership","Certified Information Systems Security Professional (CISSP), AWS Certified Solutions Architect","BSc Computer Science, University of Florida","Mandarin, Spanish",Network Administrator project: Outcome - Maximize magnetic e-markets; Project Manager project: Outcome - Optimize web-enabled vortals,No,2.1,2.4,3.2,1.9,1.4,Logical,Avoidant,Structured,Completer-Finisher,High,Finance,Remote,Small (1-5),Technical Expert,Moderate,Product Owner
Teresa Hood,Network Administrator (3 yrs); Software Engineer (2 yrs),"Java, SQL, Time Management, AWS","Certified ScrumMaster (CSM), Cisco CCNA","MSc Data Science, University of Florida","English, Mandarin",Business Analyst project: Outcome - Streamline extensible eyeballs; Business Analyst project: Outcome - Benchmark rich vortals,Yes,2.7,3.1,1.6,1.9,4.3,Logical,Avoidant,Structured,Resource Investigator,High,Education,On-site,Medium (6-15),Technical Expert,Low,Data Analyst
Terri Browning,Business Analyst (2 yrs); Data Scientist (1 yrs),"Team Leadership, Docker, Time Management, Java","Certified Information Systems Security Professional (CISSP), AWS Certified Solutions Architect","BA Business Administration, MIT","German, French",Project Manager project: Outcome - Deploy next-generation applications; Software Engineer project: Outcome - Synthesize open-source deliverables,Yes,3.1,3.2,3.8,3.4,3.4,Intuitive,Compromising,Structured,Coordinator,Low,Manufacturing,Hybrid,Medium (6-15),Technical Expert,Low,QA Engineer
Karen Dixon,Business Analyst (2 yrs); Project Manager (5 yrs),"Python, Java, SQL, Time Management","AWS Certified Solutions Architect, Certified ScrumMaster (CSM)","BSc Computer Science, University of Florida","Spanish, German",Cloud Architect project: Outcome - Envisioneer bricks-and-clicks info-mediaries; Network Administrator project: Outcome - E-enable end-to-end channels,No,1.6,1.8,3.5,1.3,1.5,Logical,Collaborative,Structured,Completer-Finisher,Medium,Retail,Hybrid,Small (1-5),Leadership,Moderate,QA Engineer
Brian Rodriguez,Project Manager (2 yrs); Project Manager (3 yrs),"Time Management, Critical Thinking, Communication, Problem Solving","CompTIA Security+, Certified ScrumMaster (CSM)","BSc Information Systems, University of Texas","Spanish, English",Data Scientist project: Outcome - Strategize killer methodologies; Cloud Architect project: Outcome - E-enable enterprise interfaces,Yes,3.8,3.6,3.3,3.0,3.5,Analytical,Avoidant,Flexible,Implementer,Low,Finance,Hybrid,Medium (6-15),Innovation,High,Systems Architect
Natalie Cohen,Security Analyst (2 yrs); Data Scientist (2 yrs),"Java, AWS, Critical Thinking, Time Management","AWS Certified Solutions Architect, Certified Information Systems Security Professional (CISSP)","BA Business Administration, Carnegie Mellon University","Japanese, Spanish",Network Administrator project: Outcome - Maximize killer partnerships; Cloud Architect project: Outcome - Orchestrate scalable e-commerce,Yes,2.5,3.1,1.2,1.4,2.4,Logical,Collaborative,Balanced,Completer-Finisher,Low,Manufacturing,Remote,Medium (6-15),Innovation,Moderate,IT Support Specialist
Steve Gomez,Security Analyst (3 yrs); Business Analyst (5 yrs),"Python, Critical Thinking, Time Management, Docker","CompTIA Security+, AWS Certified Solutions Architect","BEng Software Engineering, Stanford University","Mandarin, Japanese",Network Administrator project: Outcome - Leverage ubiquitous relationships; Network Administrator project: Outcome - Harness value-added markets,Yes,2.2,3.7,4.4,4.2,2.7,Logical,Compromising,Balanced,Coordinator,High,Technology,Hybrid,Large (16+),Leadership,High,QA Engineer
Stephen Rivera,Project Manager (2 yrs); Project Manager (5 yrs),"Problem Solving, Python, Time Management, Docker","Cisco CCNA, PMP","BA Business Administration, MIT","French, Japanese",Network Administrator project: Outcome - Transition intuitive metrics; Data Scientist project: Outcome - Exploit impactful info-mediaries,Yes,1.8,2.3,2.4,3.8,2.9,Logical,Compromising,Flexible,Completer-Finisher,Low,Retail,On-site,Medium (6-15),Technical Expert,Moderate,QA Engineer
Jason Cook,Business Analyst (4 yrs); Security Analyst (4 yrs),"Time Management, Java, Communication, Python","Certified Information Systems Security Professional (CISSP), Cisco CCNA","BEng Software Engineering, MIT","French, Japanese",Project Manager project: Outcome - Drive leading-edge partnerships; Business Analyst project: Outcome - Extend back-end e-tailers,Yes,4.9,3.2,2.9,4.8,4.7,Logical,Avoidant,Balanced,Completer-Finisher,High,Education,Hybrid,Large (16+),Innovation,High,IT Support Specialist
Matthew Espinoza,Network Administrator (1 yrs); Project Manager (1 yrs),"Docker, Problem Solving, Communication, Java","CompTIA Security+, Certified ScrumMaster (CSM)","MBA, University of Texas","English, French",Data Scientist project: Outcome - Revolutionize killer architectures; Business Analyst project: Outcome - Unleash bricks-and-clicks platforms,Yes,2.5,3.3,1.0,4.9,5.0,Creative,Avoidant,Structured,Completer-Finisher,Low,Retail,On-site,Small (1-5),Management,Moderate,Product Owner
Meagan Jackson,DevOps Engineer (1 yrs); Security Analyst (4 yrs),"Problem Solving, Java, AWS, Communication","Certified ScrumMaster (CSM), CompTIA Security+","MBA, MIT","Japanese, Mandarin",Security Analyst project: Outcome - Expedite sticky vortals; Security Analyst project: Outcome - Productize plug-and-play niches,No,2.0,4.5,1.5,3.0,3.4,Analytical,Competitive,Flexible,Coordinator,Medium,Technology,On-site,Small (1-5),Innovation,Low,QA Engineer
David Fischer,Data Scientist (3 yrs); Data Scientist (5 yrs),"Communication, AWS, Critical Thinking, Problem Solving","Cisco CCNA, Certified ScrumMaster (CSM)","MSc Data Science, Carnegie Mellon University","French, Japanese",DevOps Engineer project: Outcome - Empower innovative bandwidth; Cloud Architect project: Outcome - Architect back-end partnerships,No,3.4,1.9,3.9,3.9,2.9,Analytical,Avoidant,Structured,Completer-Finisher,Medium,Manufacturing,Remote,Medium (6-15),Management,High,Security Engineer
Mrs. Crystal Johnson MD,Network Administrator (4 yrs); Cloud Architect (2 yrs),"Time Management, SQL, Critical Thinking, Java","Cisco CCNA, Certified ScrumMaster (CSM)","BSc Information Systems, MIT","German, Mandarin",Network Administrator project: Outcome - Extend enterprise web-readiness; Network Administrator project: Outcome - Harness back-end synergies,Yes,4.4,2.3,2.3,1.0,2.0,Analytical,Compromising,Flexible,Coordinator,High,Education,On-site,Medium (6-15),Innovation,High,Data Analyst
Annette Green,Project Manager (4 yrs); Project Manager (2 yrs),"Communication, Java, Problem Solving, Team Leadership","Certified ScrumMaster (CSM), Certified Information Systems Security Professional (CISSP)","BSc Information Systems, MIT","German, Spanish",DevOps Engineer project: Outcome - Brand synergistic e-business; Data Scientist project: Outcome - Extend web-enabled users,No,3.7,4.9,2.9,4.0,4.5,Intuitive,Competitive,Balanced,Shaper,Medium,Education,Remote,Medium (6-15),Leadership,Moderate,DevOps Specialist
